fold,class,bar_resnet50,bar_vgg16,bg_frac,excess_resnet,excess_vgg
1,Pepper__bell___Bacterial_spot,0.1509244292974472,0.2285522818565368,0.42606026785714285,-0.27513583855969564,-0.19750798600060604
1,Pepper__bell___Bacterial_spot,0.1557727456092834,0.1655927449464798,0.42875079719387754,-0.27297805158459415,-0.26315805224739774
1,Pepper__bell___Bacterial_spot,0.1616380959749221,0.1935153305530548,0.45583545918367346,-0.29419736320875134,-0.26232012863061865
1,Pepper__bell___Bacterial_spot,0.2960510849952698,0.3008546829223633,0.5399992028061225,-0.24394811781085268,-0.23914451988375918
1,Pepper__bell___Bacterial_spot,0.1487519741058349,0.1810225248336792,0.5237165178571429,-0.374964543751308,-0.3426939930234637
1,Pepper__bell___Bacterial_spot,0.2361895889043808,0.2724104225635528,0.5665058992346939,-0.33031631033031306,-0.29409547667114105
1,Pepper__bell___Bacterial_spot,0.1120254769921302,0.1422962844371795,0.3619858099489796,-0.2499603329568494,-0.2196895255118001
1,Pepper__bell___Bacterial_spot,0.2285219430923462,0.1933595836162567,0.5403380102040817,-0.3118160671117355,-0.34697842658782496
1,Pepper__bell___Bacterial_spot,0.2435417622327804,0.1973807066679,0.5234773596938775,-0.27993559746109714,-0.32609665302597757
1,Pepper__bell___Bacterial_spot,0.1884667128324508,0.1770050078630447,0.4745495854591837,-0.2860828726267329,-0.29754457759613895
1,Pepper__bell___Bacterial_spot,0.2007729858160019,0.1828091889619827,0.5226602359693877,-0.3218872501533858,-0.339851047007405
1,Pepper__bell___Bacterial_spot,0.1960987746715545,0.1627670526504516,0.4634486607142857,-0.2673498860427312,-0.3006816080638341
1,Pepper__bell___Bacterial_spot,0.3137103617191314,0.2779535949230194,0.5727838010204082,-0.25907343930127674,-0.29483020609738875
1,Pepper__bell___Bacterial_spot,0.2162589877843856,0.1745146065950393,0.49214764030612246,-0.2758886525217369,-0.31763303371108315
1,Pepper__bell___Bacterial_spot,0.2905281484127044,0.2556203305721283,0.47524713010204084,-0.18471898168933643,-0.21962679952991254
1,Pepper__bell___Bacterial_spot,0.186096578836441,0.193789854645729,0.5097855548469388,-0.32368897601049773,-0.31599570020120976
1,Pepper__bell___Bacterial_spot,0.451509028673172,0.4021942317485809,0.6289660395408163,-0.17745701086764432,-0.22677180779223544
1,Pepper__bell___Bacterial_spot,0.2022543847560882,0.1409472674131393,0.4442761479591837,-0.24202176320309549,-0.3033288805460444
1,Pepper__bell___Bacterial_spot,0.2349454462528228,0.1395770907402038,0.3841079400510204,-0.1491624937981976,-0.2445308493108166
1,Pepper__bell___Bacterial_spot,0.1853225827217102,0.0987806618213653,0.41286670918367346,-0.22754412646196326,-0.31408604736230816
1,Pepper__bell___Bacterial_spot,0.2236180752515792,0.1626634299755096,0.5266063456632653,-0.3029882704116861,-0.36394291568775566
1,Pepper__bell___Bacterial_spot,0.2374737113714218,0.2462615519762039,0.47743941326530615,-0.23996570189388436,-0.23117786128910225
1,Pepper__bell___Bacterial_spot,0.2269507348537445,0.1393239498138427,0.5343391262755102,-0.30738839142176566,-0.3950151764616675
1,Pepper__bell___Bacterial_spot,0.1757298856973648,0.1949902474880218,0.5299545599489796,-0.35422467425161475,-0.33496431246095776
1,Pepper__bell___Bacterial_spot,0.2705463171005249,0.280571311712265,0.49647241709183676,-0.22592609999131186,-0.21590110537957174
1,Pepper__bell___Bacterial_spot,0.1654072701930999,0.0758944451808929,0.38986766581632654,-0.22446039562322664,-0.31397322063543365
1,Pepper__bell___Bacterial_spot,0.3596133291721344,0.2521428167819977,0.5847217793367347,-0.22510845016460035,-0.33257896255473707
1,Pepper__bell___Bacterial_spot,0.2595501244068146,0.2475213259458542,0.5720862563775511,-0.3125361319707365,-0.3245649304316969
1,Pepper__bell___Bacterial_spot,0.2506152689456939,0.1953758001327514,0.5906210140306123,-0.3400057450849184,-0.3952452138978609
1,Pepper__bell___Bacterial_spot,0.3003707230091095,0.20826156437397,0.46896922831632654,-0.16859850530721704,-0.26070766394235656
1,Pepper__bell___Bacterial_spot,0.229399099946022,0.1964538693428039,0.48441485969387754,-0.2550157597478555,-0.28796099035107364
1,Pepper__bell___Bacterial_spot,0.1852269023656845,0.2175543308258056,0.48301977040816324,-0.29779286804247873,-0.26546543958235763
1,Pepper__bell___Bacterial_spot,0.2171654254198074,0.1347525864839553,0.42721619897959184,-0.21005077355978444,-0.29246361249563657
1,Pepper__bell___Bacterial_spot,0.2206875681877136,0.1889856457710266,0.5084502551020408,-0.28776268691432716,-0.31946460933101417
1,Pepper__bell___Bacterial_spot,0.2720248401165008,0.2298465967178344,0.4409080038265306,-0.16888316371002982,-0.21106140710869623
1,Pepper__bell___Bacterial_spot,0.2277846038341522,0.2737848162651062,0.5069156568877551,-0.27913105305360286,-0.23313084062264888
